"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",1,8,0.03,64,0.0283377,0.834898,"km1",8897,8758,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",2,8,0.03,64,0.0298159,0.968616,"km1",9024,8913,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",3,8,0.03,64,0.0273718,0.883598,"km1",8449,8374,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",4,8,0.03,64,0.0280689,0.910714,"km1",8648,8506,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",5,8,0.03,64,0.0296059,0.893577,"km1",8815,8744,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",1,16,0.03,64,0.0258589,1.9454,"km1",26218,25685,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",2,16,0.03,64,0.0291531,2.19535,"km1",28606,27839,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",3,16,0.03,64,0.0197657,2.05258,"km1",25892,25432,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",4,16,0.03,64,0.0272955,1.92825,"km1",25768,24620,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",5,16,0.03,64,0.0294751,1.98657,"km1",27463,25287,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",1,2,0.03,64,0.0125316,0.878774,"km1",5441,5441,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",2,2,0.03,64,0.0190722,0.811669,"km1",5146,5146,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",3,2,0.03,64,0.00663502,0.818648,"km1",5388,5388,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",4,2,0.03,64,0.00550958,0.876707,"km1",5080,5080,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",5,2,0.03,64,0.0176108,0.915573,"km1",4817,4817,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",1,64,0.03,64,0.0297716,3.48673,"km1",68758,59229,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",2,64,0.03,64,0.0299202,3.50829,"km1",67190,58094,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",3,64,0.03,64,0.0257592,3.48343,"km1",68366,58646,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",4,64,0.03,64,0.02888,3.59264,"km1",66977,57310,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",5,64,0.03,64,0.0299698,3.6115,"km1",69270,57110,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",1,8,0.03,64,0.0157407,1.44752,"km1",17022,16883,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",2,8,0.03,64,0.0252211,1.5363,"km1",17072,16829,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",3,8,0.03,64,0.0286392,1.59353,"km1",18185,17834,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",4,8,0.03,64,0.0280757,1.40381,"km1",17238,16921,"no"
"Mt-KaHyPar Fast","dac2012_superblue12.hgr","no",5,8,0.03,64,0.0178709,1.44876,"km1",16621,16537,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",1,16,0.03,64,0.0282047,1.09755,"km1",19659,18548,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",2,16,0.03,64,0.0294476,1.21089,"km1",18869,17925,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",3,16,0.03,64,0.0217877,1.26471,"km1",20014,18709,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",4,16,0.03,64,0.0256176,1.16321,"km1",20255,19078,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",5,16,0.03,64,0.0297519,1.13265,"km1",19245,18006,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",1,2,0.03,64,0.00375395,0.533679,"km1",4109,4109,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",2,2,0.03,64,0.00396321,0.480512,"km1",5352,5352,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",3,2,0.03,64,0.00590043,0.521836,"km1",4241,4241,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",4,2,0.03,64,0.0027362,0.524428,"km1",3933,3933,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",5,2,0.03,64,0.0276759,0.576163,"km1",4034,4034,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",1,64,0.03,64,0.029928,1.78173,"km1",42915,36654,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",2,64,0.03,64,0.0298265,1.83756,"km1",41995,36134,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",3,64,0.03,64,0.0289135,2.0317,"km1",43561,36935,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",4,64,0.03,64,0.0297251,1.8711,"km1",42510,35886,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",5,64,0.03,64,0.0297251,1.87435,"km1",43057,36431,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",1,8,0.03,64,0.0239693,0.88065,"km1",13538,13123,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",2,8,0.03,64,0.0170068,1.01518,"km1",12535,12010,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",3,8,0.03,64,0.026176,0.939714,"km1",13267,12885,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",4,8,0.03,64,0.029803,0.956817,"km1",13260,12683,"no"
"Mt-KaHyPar Fast","dac2012_superblue14.hgr","no",5,8,0.03,64,0.013367,0.928466,"km1",12922,12600,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",1,16,0.03,64,0.0102183,1.09221,"km1",23184,21827,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",2,16,0.03,64,0.00526955,1.08306,"km1",22565,21325,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",3,16,0.03,64,0.0223612,1.03599,"km1",23963,22472,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",4,16,0.03,64,0.00925608,1.09452,"km1",22696,21516,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",5,16,0.03,64,0.00877494,1.11169,"km1",23577,22287,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",1,2,0.03,64,0.00156657,0.656686,"km1",8631,8631,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",2,2,0.03,64,0,0.613399,"km1",7823,7823,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",3,2,0.03,64,0,0.607223,"km1",8136,8136,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",4,2,0.03,64,0,0.606749,"km1",8203,8203,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",5,2,0.03,64,0,0.586523,"km1",7961,7961,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",1,64,0.03,64,0.0296921,1.64379,"km1",36151,32995,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",2,64,0.03,64,0.0271261,1.68914,"km1",35565,32570,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",3,64,0.03,64,0.026118,1.74205,"km1",36131,33253,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",4,64,0.03,64,0.0296921,1.60109,"km1",36010,32712,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",5,64,0.03,64,0.0296921,1.73465,"km1",35827,32823,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",1,8,0.03,64,0.00244006,0.927946,"km1",18268,17545,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",2,8,0.03,64,0.00166107,0.876463,"km1",18263,17413,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",3,8,0.03,64,0.00114557,0.923682,"km1",18404,17726,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",4,8,0.03,64,0.00406676,0.781031,"km1",18895,18059,"no"
"Mt-KaHyPar Fast","dac2012_superblue16.hgr","no",5,8,0.03,64,2.29113e-05,0.932105,"km1",17393,16781,"no"
"Mt-KaHyPar Fast","dac2012_superblue19.hgr","no",1,16,0.03,64,0.0297954,1.1121,"km1",14690,14151,"no"
"Mt-KaHyPar Fast","dac2012_superblue19.hgr","no",2,16,0.03,64,0.0299486,1.11885,"km1",15176,14534,"no"
"Mt-KaHyPar Fast","dac2012_superblue19.hgr","no",3,16,0.03,64,0.0298567,0.971833,"km1",15056,14127,"no"
"Mt-KaHyPar Fast","dac2012_superblue19.hgr","no",4,16,0.03,64,0.0280194,1.06997,"km1",15012,14399,"no"
"Mt-KaHyPar Fast","dac2012_superblue19.hgr","no",5,16,0.03,64,0.0298567,1.01861,"km1",15179,14411,"no"
"Mt-KaHyPar Fast","dac2012_superblue19.hgr","no",1,2,0.03,64,0.0285062,0.4597,"km1",1413,1413,"no"
