graph,k,epsilon,num_threads,min_km1,avg_km1,min_cut,avg_cut,min_imbalance,avg_imbalance,min_total_time,avg_total_time,avg_time,timeout,failed,infeasible,invalid,instance,algo
dac2012_superblue7.hgr,2,0.03,64,2100,2112.33333333333,2100,2112.33333333333,0.0259752,0.0274519666666667,0.818822,0.822979,0.822979,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue7.hgr,2,0.03,64,2122,2122,2122,2122,0.02926,0.02926,2.43467,2.43467,2.43467,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue7.hgr,8,0.03,64,15377,15757.5,15113,15549.5,0.0217258,0.025089975,1.34837,1.43089,1.43089,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue7.hgr,8,0.03,64,15092,15092,14823,14823,0.0296187,0.0296187,4.71493,4.71493,4.71493,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue7.hgr,16,0.03,64,28150,29125.8,27775,28588.2,0.0281483,0.02953396,2.03985,2.117864,2.117864,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue7.hgr,16,0.03,64,26930,26930,26632,26632,0.0299951,0.0299951,10.2704,10.2704,10.2704,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue7.hgr,64,0.03,64,78446,79507,71235,72198.6,0.0294062,0.0297638,3.4592,3.529284,3.529284,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue7.hgr,64,0.03,64,76242,76242,69649,69649,0.0299708,0.0299708,24.1476,24.1476,24.1476,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue9.hgr,2,0.03,64,1857,1884.5,1857,1884.5,0,0.0015307975,0.582627,0.58927125,0.58927125,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue9.hgr,2,0.03,64,1851,1851,1851,1851,0.00372128,0.00372128,2.17474,2.17474,2.17474,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue9.hgr,8,0.03,64,9668,9922,9465,9742,0.0250232,0.0273224333333333,1.16122,1.29703333333333,1.29703333333333,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue9.hgr,8,0.03,64,9599,9599,9438,9438,0.0285668,0.0285668,4.5297,4.5297,4.5297,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue9.hgr,16,0.03,64,18689,19445.5,17675,18337,0.029808,0.029898025,1.60778,1.676325,1.676325,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue9.hgr,16,0.03,64,17812,17812,16361,16361,0.0266245,0.0266245,5.89695,5.89695,5.89695,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue9.hgr,64,0.03,64,51799,52694,42755,43701.8,0.0298643,0.02992494,2.59018,2.701526,2.701526,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue9.hgr,64,0.03,64,51041,51041,40816,40816,0.0298643,0.0298643,14.9912,14.9912,14.9912,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dgreen.mtx.hgr,2,0.03,64,8890,9225,8890,9225,0.0263182,0.0278999,1.25055,1.27689,1.27689,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dgreen.mtx.hgr,2,0.03,64,8504,8504,8504,8504,0.00824246,0.00824246,2.61888,2.61888,2.61888,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dgreen.mtx.hgr,8,0.03,64,34054,34436.5,33106,33517.5,0.0282588,0.02912835,1.63744,1.65531,1.65531,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dgreen.mtx.hgr,8,0.03,64,32507,32507,31248,31248,0.0287452,0.0287452,3.3554,3.3554,3.3554,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dgreen.mtx.hgr,16,0.03,64,57918,58936,55356,56549.3333333333,0.0263596,0.0284252333333333,1.96223,2.01445333333333,2.01445333333333,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
